0.08544307;-0.23882163;9.81503-0.6614953;-0.7498453;-0.012486878
0.07347207;-0.23702596;9.829395-0.6626267;-0.7488351;-0.013104449
0.08065467;-0.25258827;9.781511-0.66395676;-0.747643;-0.01383167
0.08065467;-0.25258827;9.781511-0.67676425;-0.73607737;-0.013427405
0.07347207;-0.24660277;9.798869-0.6768042;-0.73604035;-0.013448837
0.08065467;-0.22804771;9.799467-0.6734635;-0.73912865;-0.011657637
0.08065467;-0.22804771;9.799467-0.6635395;-0.74804586;-0.011946831
0.06748656;-0.24301147;9.807249-0.66711974;-0.74482137;-0.013865103
0.07347207;-0.24779987;9.80665-0.6670447;-0.7448895;-0.013824739
0.07347207;-0.24779987;9.80665-0.6607252;-0.7504971;-0.014013781
0.08065467;-0.24540567;9.808446-0.65955037;-0.7515412;-0.013379963
0.08544307;-0.23343466;9.824008-0.6573349;-0.7534999;-0.012187316
0.08544307;-0.23343466;9.824008-0.66442436;-0.7472595;-0.011977375
0.08903438;-0.24779987;9.77792-0.6660001;-0.74584126;-0.012837339
0.06569091;-0.23702596;9.792884-0.66729885;-0.7446668;-0.013547583
0.06569091;-0.23702596;9.792884-0.6768246;-0.7360246;-0.013274508
0.07407062;-0.24959552;9.797073-0.67743945;-0.7354525;-0.013615013
0.07586627;-0.24061728;9.79827-0.6760703;-0.7367249;-0.01285715
0.07586627;-0.24061728;9.79827-0.6691326;-0.7430281;-0.013065653
0.06928221;-0.23523031;9.785102-0.66923505;-0.7429349;-0.01312145
0.060902506;-0.24839842;9.77792-0.67198664;-0.74041885;-0.014624095
0.060902506;-0.24839842;9.77792-0.66542625;-0.7463166;-0.014814781
0.058508303;-0.24001873;9.793482-0.66454923;-0.7471068;-0.0143399425
0.07047931;-0.23044191;9.813833-0.66178805;-0.7495809;-0.012848445
0.07047931;-0.23044191;9.813833-0.6482608;-0.7613036;-0.013220856
0.08664017;-0.22924481;9.81503-0.64619136;-0.7630791;-0.01211874
0.07706337;-0.24779987;9.82341-0.64985436;-0.75992846;-0.014071512
0.07706337;-0.24779987;9.82341-0.6598294;-0.7512892;-0.013775328
